grade,loans,total_funded,avg_roi,default_rate,avg_recovery,loss_given_default,expected_loss,risk_adj_roi,portfolio_share
A,35127,487074225.0,0.053087067975542516,0.058815156432373956,47.626994334842145,0.9405117175131098,0.05531634379201426,-0.0022292758164717402,0.16927686481683415
B,58346,771736425.0,0.054274187775204666,0.1334624481541151,118.27502485174647,0.9350318505997259,0.12479163988311222,-0.07051745210790755,0.26820783318795377
C,56965,804891800.0,0.031175349557773725,0.22450627578337576,247.25455226787054,0.925429874867086,0.20776481470508493,-0.1765894651473112,0.2797305901801277
D,29798,454100300.0,0.010114652335051544,0.30733606282300824,388.36018140832084,0.9201218932874284,0.28278664000021037,-0.2726719876651588,0.15781716861815842
E,13791,243944300.0,-0.006958333617678043,0.3822057863824233,624.1387042273947,0.9106977368105982,0.34807394465438785,-0.3550322782720659,0.08477994559029937
F,4606,87750475.0,-0.032434998861382194,0.45788102475032566,865.1532541985362,0.9036972779852882,0.41378583570798366,-0.44622083456936584,0.030496635896075153
G,1367,27884600.0,-0.10020664762373128,0.5157278712509145,958.9674469641551,0.9075702173414888,0.4680592562002558,-0.5682659038239871,0.009690961710551392
