rate_bucket,loans,avg_int_rate,avg_roi,default_rate
"(0.043, 0.089]",40479,0.07261361446676054,0.05218038886555623,0.06578719830035328
"(0.089, 0.12]",40516,0.1045181039589298,0.04389312010461229,0.1385131799782802
"(0.12, 0.14]",39293,0.1280956200850024,0.047166803405617165,0.18753976535260733
"(0.14, 0.17]",40746,0.15287899180287637,0.03277876935460196,0.25052765915672703
"(0.17, 0.31]",38966,0.2055867602525278,-0.009061274799004117,0.36013447621002925
